Local Authority / Region Code,Local Authority / Region Name,"Jan-23
(Rapid charging or above devices) [Note 4]","Jan-23
(per 100,000 population) [Note 3]","Oct-22
(Rapid charging or above devices)","Oct-22
(per 100,000 population)","July-22
(Rapid charging or above devices)","July-22
(per 100,000 population)","Apr-22
(Rapid charging or above devices)","Apr-22
(per 100,000 population)","Jan-22
(Rapid charging or above devices)2","Jan-22
(per 100,000 population) 3","Oct-21
(Rapid charging or above devices)","Oct-21
(per 100,000 population) ","July-21
(Rapid charging or above devices)","July-21
(per 100,000 population)","Apr-21
(Rapid charging or above devices)","Apr-21
(per 100,000 population)","Jan-21
(Rapid charging or above devices)","Jan-21
(per 100,000 population)","Oct-20
(Rapid charging or above devices)","Oct-20
(per 100,000 population)","Jul-20
(Rapid charging or above devices)","Jul-20
(per 100,000 population)","Apr-20
(Rapid charging or above devices)","Apr-20
(per 100,000 population)","Jan-20
(Rapid charging or above devices)","Jan-20
(per 100,000 population)","Oct-19
(Rapid charging or above devices)","Oct-19
(per 100,000 population)"
K02000001,United Kingdom,"6,887",10.3,"6,395",9.5,"5,974",8.9,"5,494",8.2,"5,156",7.7,"4,923",7.3,"4,551",6.8,"4,259",6.4,"3,880",5.8,"3,530",5.3,"3,206",4.8,"3,107",4.7,"2,829",4.3,"2,495",3.8
K03000001,Great Britian,"6,861",10.5,"6,373",9.8,"5,953",9.1,"5,469",8.4,"5,134",7.9,"4,902",7.5,"4,530",6.9,"4,239",6.5,"3,860",5.9,"3,508",5.4,"3,187",4.9,"3,088",4.8,"2,810",4.4,"2,476",3.8
E92000001,England,"5,631",10.0,"5,325",9.4,"4,965",8.8,"4,541",8.0,"4,258",7.5,"4,058",7.2,"3,732",6.6,"3,523",6.3,"3,214",5.7,"2,909",5.2,"2,615",4.6,"2,526",4.5,"2,288",4.1,"2,008",3.6
E12000001,North East,283,10.7,259,9.7,282,10.5,252,9.4,230,8.6,229,8.5,209,7.8,183,6.9,172,6.4,156,5.8,118,4.4,117,4.4,108,4.1,98,3.7
E06000047,County Durham,52,10.0,42,7.9,38,7.1,36,6.8,29,5.4,26,4.9,24,4.5,21,4.0,19,3.6,15,2.8,14,2.6,14,2.7,13,2.5,13,2.5
E06000005,Darlington,5,4.6,4,3.7,4,3.7,4,3.7,4,3.7,4,3.7,5,4.7,3,2.8,3,2.8,3,2.8,2,1.9,2,1.9,2,1.9,2,1.9
E06000001,Hartlepool,4,4.3,2,2.1,3,3.2,3,3.2,3,3.2,3,3.2,2,2.1,1,1.1,1,1.1,1,1.1,1,1.1,1,1.1,0,0.0,0,0.0
E06000002,Middlesbrough,11,7.7,11,7.8,11,7.8,11,7.8,7,5.0,7,5.0,7,5.0,7,5.0,7,5.0,6,4.3,6,4.3,6,4.3,6,4.3,4,2.8
E06000057,Northumberland,69,21.5,65,20.1,84,25.9,71,21.9,71,21.9,73,22.5,58,17.9,47,14.6,43,13.3,38,11.8,26,8.1,26,8.1,26,8.1,24,7.5
E06000003,Redcar and Cleveland,9,6.6,9,6.6,5,3.6,5,3.6,5,3.6,5,3.6,5,3.6,4,2.9,2,1.5,2,1.5,1,0.7,1,0.7,1,0.7,1,0.7
